NGC 594,14.0,1.4,0.6
NGC 595,99.9,0.5,0.5
NGC 596,10.9,2.8,2.1
NGC 597,13.1,1.4,1.3
NGC 598,5.7,68.7,41.6
NGC 599,13.0,1.4,1.4
NGC 600,12.4,3.7,3.6
NGC 601,16.1,0.4,0.4
NGC 602,99.9,1.5,0.7
NGC 604,99.9,2.0,2.0
NGC 605,12.9,2.2,1.1
NGC 606,13.4,1.4,1.2
NGC 608,13.2,0.8,0.6
NGC 609,11.0,3.0,3.0
NGC 612,12.9,1.5,0.9
NGC 613,10.1,5.2,4.3
NGC 614,12.7,1.4,1.4
NGC 615,11.6,3.4,1.4
NGC 617,15.0,0.5,0.5
NGC 618,14.2,0.8,0.6
NGC 619,13.5,1.5,1.0
NGC 620,14.0,1.0,0.9
NGC 621,12.7,1.9,1.8
NGC 622,12.9,1.8,1.3
NGC 623,12.5,2.0,1.5
NGC 624,14.0,1.5,1.0
NGC 625,11.1,6.4,1.8
NGC 626,12.7,1.9,1.8
NGC 627,13.7,1.4,1.4
NGC 628,9.4,10.0,9.4
NGC 630,12.5,1.6,1.4
NGC 631,13.3,1.7,1.5
NGC 632,12.3,1.5,1.2
NGC 633,12.7,1.4,1.2
NGC 634,13.0,2.1,0.6
NGC 635,15.3,0.5,0.5
NGC 636,11.5,2.8,2.0
NGC 637,8.2,3.5,3.5
NGC 638,13.8,0.8,0.5
NGC 639,14.1,1.0,0.2
NGC 640,15.0,0.7,0.5
NGC 641,12.1,1.4,1.3
NGC 642,12.9,2.0,1.1
NGC 644,14.0,1.3,0.6
NGC 645,12.6,2.6,1.2
NGC 646,14.2,1.3,0.9
NGC 647,14.0,1.5,1.1
NGC 648,14.0,1.1,0.5
NGC 649,15.0,0.9,0.3
NGC 650,10.1,2.7167,1.7833
NGC 651,10.1,2.7167,1.7833
NGC 652,13.6,1.0,0.6
NGC 653,13.4,1.5,0.2
NGC 654,6.5,5.0,5.0
NGC 655,14.0,1.4,0.9
NGC 656,13.4,1.5,1.3
NGC 657,99.9,7.0,7.0
NGC 658,12.5,3.0,1.6
NGC 659,7.9,5.0,5.0
NGC 660,11.2,8.0,2.9
NGC 661,12.2,1.6,1.3
NGC 662,12.9,0.8,0.5
NGC 663,7.1,16.0,16.0
NGC 664,12.8,1.5,1.3
NGC 665,12.1,2.4,1.6
NGC 666,13.4,0.7,0.5
NGC 667,14.2,0.6,0.5
NGC 668,13.1,1.8,1.2
NGC 669,12.3,3.1,0.6
NGC 670,12.7,2.1,0.9
NGC 671,13.2,1.5,0.5
NGC 672,10.9,7.5,2.6
NGC 673,12.6,2.1,1.7
NGC 674,12.8,4.4,1.4
NGC 675,15.5,1.0,0.4
NGC 676,10.5,4.2,1.6
NGC 677,12.2,2.0,2.0
NGC 678,12.2,4.1,0.8
NGC 679,12.3,2.1,2.1
NGC 680,11.9,1.8,1.6
NGC 681,12.0,2.7,1.8
NGC 682,13.0,1.4,1.1
NGC 683,13.5,1.0,1.0
NGC 684,12.4,3.4,0.7
NGC 685,11.0,3.6,3.1
NGC 686,12.4,1.7,1.4
NGC 687,12.3,1.4,1.4
NGC 688,12.7,2.4,1.5
NGC 689,13.6,1.0,0.6
NGC 690,14.2,1.2,0.8
NGC 691,11.4,3.4,2.5
NGC 692,13.1,2.1,1.8
NGC 693,12.4,2.2,1.1
NGC 694,13.7,0.6,0.4
NGC 695,12.8,0.5,0.4
NGC 696,13.3,1.7,0.6
NGC 697,12.0,4.4,1.4
NGC 698,13.9,0.9,0.8
NGC 699,14.0,1.6,0.3
NGC 700,14.4,0.8,0.7
NGC 701,12.2,2.6,1.4
NGC 702,13.1,1.5,1.0
NGC 703,13.3,1.2,0.9
NGC 704,14.0,0.6,0.4
NGC 705,13.6,1.2,0.3
NGC 706,12.5,1.9,1.5
NGC 707,14.0,1.3,0.9
NGC 708,12.7,3.0,2.5
NGC 709,14.3,1.0,0.5
NGC 710,13.7,1.3,1.2
NGC 711,13.1,1.6,0.7
NGC 712,12.8,1.3,1.0
NGC 713,15.0,1.0,0.3
NGC 714,13.1,1.5,0.4
NGC 715,15.0,0.8,0.4
NGC 716,12.9,1.8,0.8
NGC 717,13.9,1.3,0.2
NGC 718,11.7,2.3,2.2
NGC 719,13.2,1.4,1.1
NGC 720,10.2,4.4,2.2
NGC 721,13.5,1.7,1.0
NGC 722,13.4,1.7,0.5
NGC 723,12.4,1.5,1.3
NGC 724,13.3,1.5,1.3
NGC 725,14.0,0.8,0.5
NGC 726,14.0,1.2,0.6
NGC 727,14.5,1.1,0.6
NGC 729,14.5,1.1,0.6
NGC 731,12.1,1.7,1.7
NGC 732,13.5,1.4,1.0
NGC 734,16.0,0.7,0.4
NGC 735,13.3,1.8,0.8
NGC 736,12.1,1.7,1.6
NGC 738,15.5,0.4,0.2
NGC 739,13.9,0.5,0.5
NGC 740,14.0,1.4,0.3
NGC 741,11.1,3.0,3.0
NGC 742,14.3,0.2,0.2
NGC 743,9.5,5.0,5.0
NGC 744,7.9,11.0,11.0
NGC 745,13.3,1.3,0.8
NGC 746,13.0,1.9,1.3
NGC 747,14.8,1.0,0.5
NGC 748,12.6,2.3,1.1
NGC 749,12.5,1.9,1.4
NGC 750,11.9,1.6,1.3
NGC 751,14.0,1.8,1.8
NGC 752,5.7,50.0,50.0
NGC 753,12.3,2.5,2.0
NGC 754,15.2,0.5,0.5
NGC 755,12.6,3.3,1.1
NGC 756,15.0,0.8,0.5
NGC 757,13.0,1.7,1.7
NGC 758,15.4,0.9,0.7
NGC 759,12.7,1.8,1.8
NGC 761,13.5,1.4,0.5
NGC 762,13.5,1.4,1.2
NGC 763,13.1,3.3,1.1
NGC 765,12.8,2.7,2.7
NGC 766,12.7,2.0,2.0
NGC 767,14.0,1.1,0.4
NGC 768,13.2,1.7,0.8
NGC 769,12.8,0.8,0.5
NGC 770,12.9,1.1,0.8
NGC 772,10.3,7.5,4.3
NGC 773,14.0,1.4,0.8
NGC 774,13.0,1.5,1.2
NGC 775,12.7,1.7,1.2
NGC 776,12.4,1.7,1.7
NGC 777,11.4,2.8,2.2
NGC 778,13.2,1.1,0.5
NGC 779,11.2,4.1,1.2
NGC 780,14.5,1.3,0.9
NGC 781,13.0,1.5,0.4
NGC 782,11.9,2.4,2.1
NGC 783,12.1,1.6,1.4
NGC 784,11.7,6.6,1.6
NGC 785,14.0,1.5,1.1
NGC 786,13.3,0.7,0.6
NGC 787,13.0,2.5,1.9
NGC 788,12.1,2.2,1.5
NGC 789,13.4,0.6,0.4
NGC 790,13.5,1.4,1.4
NGC 791,13.1,1.6,1.6
NGC 792,13.1,1.7,1.1
NGC 794,12.7,1.3,1.1
NGC 795,14.2,1.2,0.7
NGC 796,99.9,3.4,3.4
NGC 797,12.6,1.6,1.3
NGC 798,13.5,1.2,0.5
NGC 799,13.0,2.0,1.7
NGC 800,13.7,1.0,0.9
NGC 801,13.1,3.1,0.7
NGC 802,13.7,0.9,0.6
NGC 803,12.6,3.0,1.3
NGC 804,14.7,1.4,0.3
NGC 805,13.5,1.1,0.7
NGC 806,14.0,1.2,0.4
NGC 807,12.5,1.8,1.3
NGC 808,13.5,1.2,0.6
NGC 809,14.0,1.5,1.1
NGC 810,15.5,1.5,1.0
NGC 811,14.0,1.1,0.7
NGC 812,11.2,3.0,1.3
NGC 813,13.8,1.3,0.9
NGC 814,16.0,1.4,0.6
NGC 815,16.0,0.4,0.2
NGC 816,15.5,0.3,0.3
NGC 817,13.2,0.7,0.3
NGC 818,12.5,2.9,1.2
NGC 819,13.4,0.6,0.4
NGC 820,12.8,1.4,0.8
NGC 821,10.7,2.4,1.7
NGC 822,13.1,1.1,0.6
NGC 823,12.6,1.7,1.3
NGC 824,13.3,1.4,1.2
NGC 825,13.2,2.2,0.9
NGC 826,15.5,0.5,0.3
NGC 827,12.7,2.3,0.8
NGC 828,12.3,2.9,2.2
NGC 829,14.0,1.1,0.6
NGC 830,14.0,1.4,0.9
NGC 831,15.0,0.4,0.3
NGC 833,12.7,1.5,0.7
NGC 834,13.1,1.1,0.5
NGC 835,12.1,1.3,1.1
NGC 836,13.3,1.2,0.9
NGC 837,14.0,0.9,0.4
NGC 838,12.9,1.2,0.9
NGC 839,13.1,1.4,0.7
NGC 840,13.4,1.8,1.0
NGC 841,12.6,1.8,1.0
NGC 842,12.7,1.1,0.9
NGC 844,15.0,0.3,0.3
NGC 845,13.5,1.7,0.4
NGC 846,12.1,1.9,1.7
NGC 847,13.1,1.9,1.7
NGC 848,13.0,1.5,1.0
NGC 849,14.3,0.5,0.3
NGC 850,12.9,1.2,1.1
NGC 851,13.5,1.0,0.6
NGC 852,13.4,1.3,1.1
NGC 853,13.0,1.6,1.4
NGC 854,13.1,1.8,0.6
NGC 855,12.6,2.6,1.0
NGC 856,13.2,1.3,0.9
NGC 857,12.4,1.5,1.3
NGC 858,13.7,1.3,1.1
NGC 859,14.2,1.3,0.9
